Places,Population,radius(in m), time(in next 20 minute) ,Average Priority Of accident,Covid Cases,Accident Probability
1001,1359,300,0.04,2,79,0.122969162
1001,1359,300,0.06,8,96,0.124275042
1001,1359,300,0.07,1,90,0.12649262
1001,1359,300,0.08,9,104,0.12805484
1001,1359,300,0.1,4,77,0.124189193
1001,1359,300,0.11,10,97,0.122663248
1001,1359,300,0.13,9,78,0.127966572
1001,1359,300,0.14,6,98,0.126387424
1001,1359,300,0.15,3,87,0.125830007
1001,1359,300,0.17,6,102,0.128186637
1001,1359,300,0.18,10,88,0.124842133
1001,1359,300,0.19,6,97,0.1293317
1001,1359,300,0.21,9,89,0.12713105
1001,1359,300,0.22,1,98,0.122866385
1001,1359,300,0.24,10,88,0.123463704
1001,1359,300,0.25,4,96,0.13015513
1001,1359,300,0.26,3,92,0.12769935
1001,1359,300,0.28,4,97,0.122491549
1001,1359,300,0.29,3,95,0.128799675
1001,1359,300,0.31,7,97,0.125637752
1001,1359,300,0.32,2,79,0.126139549
1001,1359,300,0.33,7,98,0.126016216
1001,1359,300,0.35,9,88,0.130294182
1001,1359,300,0.36,6,95,0.124589421
1001,1359,300,0.38,9,91,0.125375367
1001,1359,300,0.39,10,95,0.126528895
1001,1359,300,0.4,2,76,0.127777945
1001,1359,300,0.42,10,100,0.122947398
1001,1359,300,0.43,1,83,0.125823961
1001,1359,300,0.44,3,100,0.12378171
1001,1359,300,0.46,5,94,0.124489062
1001,1359,300,0.47,8,100,0.130101927
1001,1359,300,0.49,6,82,0.124664388
1001,1359,300,0.5,4,100,0.125617197
1001,1359,300,0.51,3,76,0.126181869
1001,1359,300,0.53,6,99,0.128712616
1001,1359,300,0.54,2,86,0.129349837
1001,1359,300,0.56,9,100,0.126264091
1001,1359,300,0.57,9,77,0.128909707
1001,1359,300,0.58,9,100,0.12883474
1001,1359,300,0.6,3,78,0.126042817
1001,1359,300,0.61,2,95,0.127667912
1001,1359,300,0.63,7,77,0.124720009
1001,1359,300,0.64,10,104,0.12694726
1001,1359,300,0.65,3,91,0.125146838
1001,1359,300,0.67,7,97,0.128047585
1001,1359,300,0.68,9,80,0.12515893
1001,1359,300,0.69,3,97,0.127832356
1001,1359,300,0.71,3,83,0.127861376
1001,1359,300,0.72,2,97,0.128902452
1001,1359,300,0.74,4,84,0.126380169
1001,1359,300,0.75,2,97,0.128786374
1001,1359,300,0.76,10,86,0.125615988
1001,1359,300,0.78,6,100,0.123438312
1001,1359,300,0.79,9,77,0.125244779
1001,1359,300,0.81,2,96,0.125460008
1001,1359,300,0.82,5,87,0.129080197
1001,1359,300,0.83,2,102,0.125331838
1001,1359,300,0.85,9,84,0.124802231
1001,1359,300,0.86,2,100,0.124659551
1001,1359,300,0.88,2,95,0.12583968
1001,1359,300,0.89,3,103,0.123368181
1001,1359,300,0.9,1,78,0.128100787
1001,1359,300,0.92,10,95,0.123645076
1001,1359,300,0.93,8,77,0.127721115
1001,1359,300,0.94,6,97,0.125631707
1001,1359,300,0.96,10,84,0.122605209
1001,1359,300,0.97,6,97,0.126082719
1001,1359,300,0.99,7,78,0.124589421
1001,2310,400,0,8,169,0.192629936
1001,2310,400,0.01,2,150,0.199991518
1001,2310,400,0.03,7,176,0.19214967
1001,2310,400,0.04,6,158,0.19458477
1001,2310,400,0.06,1,164,0.200771951
1001,2310,400,0.07,7,161,0.191194766
1001,2310,400,0.08,9,174,0.197406335
1001,2310,400,0.1,7,153,0.201529871
1001,2310,400,0.11,9,164,0.19474611
1001,2310,400,0.13,2,134,0.198747704
1001,2310,400,0.14,1,168,0.196695316
1001,2310,400,0.15,9,143,0.20018475
1001,2310,400,0.17,9,168,0.198132362
1001,2310,400,0.18,2,145,0.202195866
1001,2310,400,0.19,3,171,0.199042242
1001,2310,400,0.21,8,147,0.193849363
1001,2310,400,0.22,4,163,0.200387363
1001,2310,400,0.24,2,139,0.200980192
1001,2310,400,0.25,10,161,0.192903838
1001,2310,400,0.26,2,143,0.195939271
1001,2310,400,0.28,8,174,0.199271119
1001,2310,400,0.29,5,153,0.200119089
1001,2310,400,0.31,10,169,0.199134168
1001,2310,400,0.32,4,160,0.194967483
1001,2310,400,0.33,2,161,0.200029039
1001,2310,400,0.35,4,145,0.199164185
1001,2310,400,0.36,3,171,0.197224359
1001,2310,400,0.38,3,155,0.193984437
1001,2310,400,0.39,6,163,0.198214908
1001,2310,400,0.4,1,145,0.197049887
1001,2310,400,0.42,7,171,0.196644663
1001,2310,400,0.43,1,129,0.193764941
1001,2310,400,0.44,4,169,0.201000828
1001,2310,400,0.46,5,129,0.201291614
1001,2310,400,0.47,7,174,0.195618468
1001,2310,400,0.49,7,135,0.193046417
1001,2310,400,0.5,7,168,0.193333451
1001,2310,400,0.51,4,143,0.193089566
1001,2310,400,0.53,7,171,0.195689758
1001,2310,400,0.54,4,147,0.198044189
1001,2310,400,0.56,6,176,0.191282939
1001,2310,400,0.57,9,142,0.198518827
1001,2310,400,0.58,10,171,0.192010843
1001,2310,400,0.6,9,151,0.20175312
1001,2310,400,0.61,10,176,0.194053851
1001,2310,400,0.63,4,134,0.192603672
1001,2310,400,0.64,8,177,0.192402936
1001,2310,400,0.65,7,132,0.198625761
1001,2310,400,0.67,5,163,0.195153211
1001,2310,400,0.68,4,130,0.201704343
1001,2310,400,0.69,5,164,0.199143548
1001,2310,400,0.71,5,150,0.197119301
1001,2310,400,0.72,4,176,0.195502154
1001,2310,400,0.74,3,132,0.193265914
1001,2310,400,0.75,5,177,0.192423572
1001,2310,400,0.76,10,160,0.191646891
1001,2310,400,0.78,3,173,0.199603178
1001,2310,400,0.79,3,156,0.193402865
1001,2310,400,0.81,5,161,0.191750074
1001,2310,400,0.82,10,129,0.192845681
1001,2310,400,0.83,7,161,0.199085391
1001,2310,400,0.85,6,134,0.201541128
1001,2310,400,0.86,10,176,0.1931496
1001,2310,400,0.88,10,148,0.195481518
1001,2310,400,0.89,5,169,0.193761189
1001,2310,400,0.9,3,140,0.195389592
1001,2310,400,0.92,7,164,0.199396814
1001,2310,400,0.93,2,156,0.195672874
1001,2310,400,0.94,6,161,0.195156963
1001,2310,400,0.96,6,151,0.191864512
1001,2310,400,0.97,7,174,0.199612558
1001,2310,400,0.99,5,137,0.200332958
1001,3502,500,0,9,247,0.277506822
1001,3502,500,0.01,10,201,0.2921133
1001,3502,500,0.03,9,245,0.282100838
1001,3502,500,0.04,1,205,0.27723834
1001,3502,500,0.06,4,252,0.291535658
1001,3502,500,0.07,8,225,0.286627057
1001,3502,500,0.08,7,259,0.285745678
1001,3502,500,0.1,5,240,0.289566794
1001,3502,500,0.11,1,259,0.27485455
1001,3502,500,0.13,8,242,0.288726094
1001,3502,500,0.14,7,247,0.29054309
1001,3502,500,0.15,2,227,0.282450678
1001,3502,500,0.17,10,245,0.29006579
1001,3502,500,0.18,8,198,0.280734023
1001,3502,500,0.19,10,245,0.284175468
1001,3502,500,0.21,5,230,0.288419646
1001,3502,500,0.22,10,247,0.284587682
1001,3502,500,0.24,4,215,0.281089287
1001,3502,500,0.25,3,254,0.291096325
1001,3502,500,0.26,6,220,0.2875003
1001,3502,500,0.28,10,245,0.278515661
1001,3502,500,0.29,3,225,0.283844612
1001,3502,500,0.31,4,257,0.277281731
1001,3502,500,0.32,10,225,0.274702681
1001,3502,500,0.33,2,247,0.281761847
1001,3502,500,0.35,6,230,0.285460925
1001,3502,500,0.36,4,264,0.283283242
1001,3502,500,0.38,8,215,0.289395942
1001,3502,500,0.39,2,252,0.280340793
1001,3502,500,0.4,9,218,0.274794887
1001,3502,500,0.42,5,254,0.275578636
1001,3502,500,0.43,10,218,0.292132284
1001,3502,500,0.44,1,264,0.289762053
1001,3502,500,0.46,6,218,0.275879661
1001,3502,500,0.47,2,264,0.285615505
1001,3502,500,0.49,2,232,0.282268978
1001,3502,500,0.5,9,245,0.288595921
1001,3502,500,0.51,8,205,0.288237946
1001,3502,500,0.53,7,247,0.291787868
1001,3502,500,0.54,2,201,0.284883283
1001,3502,500,0.56,6,264,0.274789463
1001,3502,500,0.57,3,245,0.28078555
1001,3502,500,0.58,3,247,0.280248587
1001,3502,500,0.6,10,205,0.288319304
1001,3502,500,0.61,6,247,0.292338391
1001,3502,500,0.63,9,225,0.291475996
1001,3502,500,0.64,3,267,0.281482517
1001,3502,500,0.65,9,210,0.289469164
1001,3502,500,0.67,10,267,0.277726488
1001,3502,500,0.68,9,196,0.274716241
1001,3502,500,0.69,10,269,0.282713736
1001,3502,500,0.71,3,245,0.277702081
1001,3502,500,0.72,6,259,0.277300715
1001,3502,500,0.74,2,215,0.280001801
1001,3502,500,0.75,9,250,0.284050719
1001,3502,500,0.76,3,242,0.281064879
1001,3502,500,0.78,8,262,0.282255419
1001,3502,500,0.79,8,208,0.282388303
1001,3502,500,0.81,7,250,0.278938723
1001,3502,500,0.82,1,198,0.276674258
1001,3502,500,0.83,2,269,0.274862686
1001,3502,500,0.85,6,227,0.291866514
1001,3502,500,0.86,7,245,0.292061773
1001,3502,500,0.88,5,208,0.275394225
1001,3502,500,0.89,3,247,0.277509534
1001,3502,500,0.9,3,196,0.287210123
1001,3502,500,0.92,1,254,0.283473077
1001,3502,500,0.93,10,203,0.290130876
1001,3502,500,0.94,4,252,0.28830032
1001,3502,500,0.96,2,230,0.29135667
1001,3502,500,0.97,7,245,0.280679785
1001,3502,500,0.99,3,215,0.280809958
1001,4933,600,0,7,355,0.386393376
1001,4933,600,0.01,8,345,0.397561953
1001,4933,600,0.03,3,345,0.382455022
1001,4933,600,0.04,4,283,0.383989494
1001,4933,600,0.06,7,379,0.37974276
1001,4933,600,0.07,9,296,0.390524932
1001,4933,600,0.08,9,362,0.379735329
1001,4933,600,0.1,8,296,0.381266085
1001,4933,600,0.11,5,359,0.379690744
1001,4933,600,0.13,9,286,0.395436728
1001,4933,600,0.14,5,355,0.382585062
1001,4933,600,0.15,3,317,0.394838544
1001,4933,600,0.17,7,366,0.399780064
1001,4933,600,0.18,6,300,0.389603506
1001,4933,600,0.19,5,362,0.389454889
1001,4933,600,0.21,9,314,0.396993493
1001,4933,600,0.22,9,355,0.385308471
1001,4933,600,0.24,9,321,0.398951523
1001,4933,600,0.25,5,345,0.393400674
1001,4933,600,0.26,10,328,0.383539927
1001,4933,600,0.28,6,355,0.384138111
1001,4933,600,0.29,8,276,0.384962936
1001,4933,600,0.31,2,359,0.389889594
1001,4933,600,0.32,1,310,0.378524099
1001,4933,600,0.33,8,345,0.379408371
1001,4933,600,0.35,6,338,0.396376731
1001,4933,600,0.36,1,348,0.391899641
1001,4933,600,0.38,8,345,0.379876515
1001,4933,600,0.39,9,379,0.385479381
1001,4933,600,0.4,1,293,0.381730514
1001,4933,600,0.42,2,355,0.391888494
1001,4933,600,0.43,8,324,0.382674233
1001,4933,600,0.44,3,345,0.379553273
1001,4933,600,0.46,7,328,0.396469617
1001,4933,600,0.47,9,359,0.397992943
1001,4933,600,0.49,2,314,0.390844459
1001,4933,600,0.5,2,369,0.39029086
1001,4933,600,0.51,9,338,0.376714686
1001,4933,600,0.53,9,355,0.395302973
1001,4933,600,0.54,1,334,0.383755422
1001,4933,600,0.56,3,352,0.392512686
1001,4933,600,0.57,7,290,0.399159587
1001,4933,600,0.58,3,355,0.383852023
1001,4933,600,0.6,8,338,0.396867168
1001,4933,600,0.61,2,355,0.387047292
1001,4933,600,0.63,3,317,0.386058988
1001,4933,600,0.64,2,372,0.381934862
1001,4933,600,0.65,7,296,0.384654556
1001,4933,600,0.67,5,359,0.384799458
1001,4933,600,0.68,4,290,0.398323616
1001,4933,600,0.69,9,355,0.394303523
1001,4933,600,0.71,10,300,0.393029131
1001,4933,600,0.72,6,369,0.391598691
1001,4933,600,0.74,1,324,0.387270217
1001,4933,600,0.75,3,372,0.399950973
1001,4933,600,0.76,4,321,0.398739744
1001,4933,600,0.78,4,362,0.382072333
1001,4933,600,0.79,5,283,0.39871002
1001,4933,600,0.81,10,376,0.387273933
1001,4933,600,0.82,9,310,0.382908305
1001,4933,600,0.83,1,372,0.387065869
1001,4933,600,0.85,6,331,0.378676432
1001,4933,600,0.86,8,369,0.392709604
1001,4933,600,0.88,5,341,0.381176915
1001,4933,600,0.89,10,376,0.381347825
1001,4933,600,0.9,8,283,0.384576532
1001,4933,600,0.92,2,369,0.386865236
1001,4933,600,0.93,10,290,0.380664186
1001,4933,600,0.94,9,348,0.400043859
1001,4933,600,0.96,2,317,0.397699424
1001,4933,600,0.97,7,359,0.38078308
1001,4933,600,0.99,5,341,0.396729697
1001,6604,700,0,3,508,0.49890235
1001,6604,700,0.01,6,434,0.520743348
1001,6604,700,0.03,1,490,0.513691086
1001,6604,700,0.04,10,369,0.524403878
1001,6604,700,0.06,5,480,0.519174549
1001,6604,700,0.07,7,392,0.5156362
1001,6604,700,0.08,10,471,0.526735083
1001,6604,700,0.1,3,443,0.525444856
1001,6604,700,0.11,5,462,0.524907262
1001,6604,700,0.13,3,402,0.508999352
1001,6604,700,0.14,2,494,0.503227542
1001,6604,700,0.15,7,379,0.505162882
1001,6604,700,0.17,4,494,0.511174166
1001,6604,700,0.18,8,453,0.525757638
1001,6604,700,0.19,7,508,0.519511768
1001,6604,700,0.21,7,392,0.51194146
1001,6604,700,0.22,4,499,0.518490338
1001,6604,700,0.24,5,402,0.513739958
1001,6604,700,0.25,8,485,0.519189211
1001,6604,700,0.26,4,379,0.515264771
1001,6604,700,0.28,6,499,0.495427535
1001,6604,700,0.29,8,439,0.524501622
1001,6604,700,0.31,8,471,0.512366648
1001,6604,700,0.32,1,411,0.511609129
1001,6604,700,0.33,10,471,0.52700388
1001,6604,700,0.35,6,443,0.519379813
1001,6604,700,0.36,2,471,0.500524908
1001,6604,700,0.38,10,448,0.497836935
1001,6604,700,0.39,1,471,0.496536934
1001,6604,700,0.4,6,388,0.511418527
1001,6604,700,0.42,2,476,0.515729057
1001,6604,700,0.43,2,402,0.515758381
1001,6604,700,0.44,1,508,0.505612507
1001,6604,700,0.46,6,416,0.518607632
1001,6604,700,0.47,3,476,0.523040343
1001,6604,700,0.49,1,429,0.526495609
1001,6604,700,0.5,6,480,0.499992201
1001,6604,700,0.51,4,453,0.497817386
1001,6604,700,0.53,6,466,0.520826431
1001,6604,700,0.54,8,420,0.513867026
1001,6604,700,0.56,4,480,0.504649724
1001,6604,700,0.57,7,383,0.511990332
1001,6604,700,0.58,1,476,0.508002358
1001,6604,700,0.6,2,453,0.507171531
1001,6604,700,0.61,5,503,0.510729429
1001,6604,700,0.63,8,416,0.519272294
1001,6604,700,0.64,6,503,0.522967034
1001,6604,700,0.65,9,453,0.496742197
1001,6604,700,0.67,8,466,0.497778289
1001,6604,700,0.68,4,434,0.524701998
1001,6604,700,0.69,1,462,0.523142974
1001,6604,700,0.71,7,379,0.524633577
1001,6604,700,0.72,6,471,0.506311379
1001,6604,700,0.74,3,392,0.51572417
1001,6604,700,0.75,7,490,0.507161756
1001,6604,700,0.76,6,429,0.513691086
1001,6604,700,0.78,4,476,0.506472658
1001,6604,700,0.79,6,388,0.510851609
1001,6604,700,0.81,5,480,0.510558376
1001,6604,700,0.82,3,420,0.512615897
1001,6604,700,0.83,9,494,0.515523794
1001,6604,700,0.85,6,406,0.513427176
1001,6604,700,0.86,8,503,0.495398211
1001,6604,700,0.88,1,388,0.497885808
1001,6604,700,0.89,2,476,0.503066264
1001,6604,700,0.9,10,392,0.510431308
1001,6604,700,0.92,1,499,0.507865516
1001,6604,700,0.93,6,388,0.52626591
1001,6604,700,0.94,5,503,0.525620796
1001,6604,700,0.96,8,383,0.512513265
1001,6604,700,0.97,7,480,0.504038821
1001,6604,700,0.99,4,429,0.506306492
1001,8515,800,0,9,631,0.639863155
1001,8515,800,0.01,9,524,0.632888559
1001,8515,800,0.03,3,649,0.645891199
1001,8515,800,0.04,4,518,0.639352515
1001,8515,800,0.06,3,637,0.644471371
1001,8515,800,0.07,3,548,0.647821668
1001,8515,800,0.08,7,655,0.653750075
1001,8515,800,0.1,6,596,0.646233702
1001,8515,800,0.11,9,637,0.632658148
1001,8515,800,0.13,4,518,0.636593813
1001,8515,800,0.14,4,649,0.670900108
1001,8515,800,0.15,10,530,0.666223393
1001,8515,800,0.17,6,613,0.670053193
1001,8515,800,0.18,5,566,0.660488033
1001,8515,800,0.19,7,607,0.656116455
1001,8515,800,0.21,1,512,0.666677987
1001,8515,800,0.22,7,613,0.639701245
1001,8515,800,0.24,2,560,0.640728753
1001,8515,800,0.25,7,637,0.667362992
1001,8515,800,0.26,1,566,0.652585566
1001,8515,800,0.28,1,625,0.649839319
1001,8515,800,0.29,9,560,0.641127301
1001,8515,800,0.31,7,643,0.637702276
1001,8515,800,0.32,6,500,0.631431367
1001,8515,800,0.33,5,607,0.661527995
1001,8515,800,0.35,1,494,0.644016776
1001,8515,800,0.36,1,596,0.670240013
1001,8515,800,0.38,4,554,0.648786902
1001,8515,800,0.39,7,643,0.659086886
1001,8515,800,0.4,2,548,0.667699267
1001,8515,800,0.42,3,619,0.651850743
1001,8515,800,0.43,7,530,0.633548655
1001,8515,800,0.44,8,637,0.662761004
1001,8515,800,0.46,7,530,0.65580509
1001,8515,800,0.47,5,643,0.663134643
1001,8515,800,0.49,10,578,0.670744425
1001,8515,800,0.5,8,649,0.655020447
1001,8515,800,0.51,6,566,0.650611506
1001,8515,800,0.53,6,613,0.645274695
1001,8515,800,0.54,10,560,0.65673296
1001,8515,800,0.56,3,619,0.660568988
1001,8515,800,0.57,1,482,0.669324597
1001,8515,800,0.58,7,602,0.643070224
1001,8515,800,0.6,5,584,0.632577193
1001,8515,800,0.61,3,649,0.646364475
1001,8515,800,0.63,7,566,0.645137694
1001,8515,800,0.64,7,596,0.665195885
1001,8515,800,0.65,7,518,0.637534138
1001,8515,800,0.67,1,637,0.653463618
1001,8515,800,0.68,7,584,0.663508282
1001,8515,800,0.69,1,637,0.642995496
1001,8515,800,0.71,10,476,0.665227022
1001,8515,800,0.72,9,596,0.647628621
1001,8515,800,0.74,4,530,0.667120126
1001,8515,800,0.75,10,655,0.659952483
1001,8515,800,0.76,2,560,0.639825791
1001,8515,800,0.78,2,631,0.664535789
1001,8515,800,0.79,2,482,0.642590721
1001,8515,800,0.81,8,619,0.64704948
1001,8515,800,0.82,2,548,0.636307357
1001,8515,800,0.83,6,649,0.657878786
1001,8515,800,0.85,2,488,0.666765169
1001,8515,800,0.86,2,643,0.634445389
1001,8515,800,0.88,9,524,0.636967452
1001,8515,800,0.89,3,607,0.65606041
1001,8515,800,0.9,4,482,0.646295975
1001,8515,800,0.92,9,625,0.645069193
1001,8515,800,0.93,10,488,0.639993929
1001,8515,800,0.94,2,643,0.660637488
1001,8515,800,0.96,10,536,0.647597484
1001,8515,800,0.97,8,655,0.638051006
1001,8515,800,0.99,8,476,0.635678398
1001,10666,900,0,6,769,0.797938925
1001,10666,900,0.01,1,627,0.819506096
1001,10666,900,0.03,4,783,0.807995354
1001,10666,900,0.04,4,709,0.787549861
1001,10666,900,0.06,2,769,0.810285125
1001,10666,900,0.07,1,701,0.796577439
1001,10666,900,0.08,9,746,0.820434382
1001,10666,900,0.1,5,716,0.794883318
1001,10666,900,0.11,6,783,0.830970425
1001,10666,900,0.13,5,619,0.810726061
1001,10666,900,0.14,6,806,0.831040046
1001,10666,900,0.15,8,657,0.829655353
1001,10666,900,0.17,6,798,0.793251082
1001,10666,900,0.18,5,604,0.790922632
1001,10666,900,0.19,6,798,0.794906525
1001,10666,900,0.21,5,612,0.833206046
1001,10666,900,0.22,7,761,0.815019382
1001,10666,900,0.24,2,724,0.806672546
1001,10666,900,0.25,3,821,0.792214496
1001,10666,900,0.26,4,642,0.827682746
1001,10666,900,0.28,5,791,0.821880961
1001,10666,900,0.29,1,657,0.804042404
1001,10666,900,0.31,9,754,0.799663989
1001,10666,900,0.32,5,731,0.789847368
1001,10666,900,0.33,9,798,0.808985525
1001,10666,900,0.35,10,619,0.810818889
1001,10666,900,0.36,2,776,0.796770832
1001,10666,900,0.38,7,634,0.826251639
1001,10666,900,0.39,2,769,0.814346375
1001,10666,900,0.4,8,724,0.805875768
1001,10666,900,0.42,4,813,0.798418539
1001,10666,900,0.43,9,716,0.791781296
1001,10666,900,0.44,2,754,0.816821803
1001,10666,900,0.46,7,709,0.788849461
1001,10666,900,0.47,9,776,0.830660996
1001,10666,900,0.49,9,642,0.813495446
1001,10666,900,0.5,5,776,0.829260832
1001,10666,900,0.51,6,694,0.791100554
1001,10666,900,0.53,8,791,0.816589732
1001,10666,900,0.54,5,671,0.827373318
1001,10666,900,0.56,2,806,0.814269018
1001,10666,900,0.57,4,701,0.803214682
1001,10666,900,0.58,6,754,0.805117668
1001,10666,900,0.6,5,679,0.809581175
1001,10666,900,0.61,10,798,0.833987353
1001,10666,900,0.63,5,642,0.802905254
1001,10666,900,0.64,5,754,0.784749532
1001,10666,900,0.65,9,612,0.792144875
1001,10666,900,0.67,1,769,0.817587639
1001,10666,900,0.68,6,746,0.787696839
1001,10666,900,0.69,5,754,0.787201754
1001,10666,900,0.71,9,604,0.817092553
1001,10666,900,0.72,8,783,0.811020018
1001,10666,900,0.74,7,642,0.804305418
1001,10666,900,0.75,3,746,0.815352018
1001,10666,900,0.76,10,597,0.831875503
1001,10666,900,0.78,2,783,0.794403704
1001,10666,900,0.79,3,679,0.808962318
1001,10666,900,0.81,3,806,0.798248354
1001,10666,900,0.82,10,642,0.808722511
1001,10666,900,0.83,2,791,0.811182468
1001,10666,900,0.85,6,709,0.824712232
1001,10666,900,0.86,10,798,0.819157989
